Model Spend_Optim

  Variables:
    edlp : Size=312, Index=edlp_index
        Key     : Lower : Value              : Upper : Fixed : Stale : Domain
        (3, 20) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 21) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 22) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 23) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 24) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 25) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 26) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 27) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 28) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 29) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 30) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 31) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 32) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 33) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 34) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 35) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 36) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 37) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 38) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 39) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 40) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 41) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 42) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 43) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 44) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 45) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 46) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 47) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 48) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 49) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 50) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 51) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (4, 0) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (4, 1) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (4, 2) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (4, 3) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (4, 4) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (4, 5) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (4, 6) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (4, 7) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (4, 8) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (4, 9) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 10) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 11) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 12) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 13) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 14) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 15) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 16) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 17) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 18) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 19) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 20) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 21) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 22) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 23) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 24) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 25) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 26) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 27) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 28) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 29) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 30) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
